file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/Runner.java,com.github.mauricioaniche.ck.Runner,class,4,4,0,4,9,1,0,11,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,38,0,2,1,0,0,9,13,12,5,8,1,1,0,0,44,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/ASTDebugger.java,com.github.mauricioaniche.ck.ASTDebugger,class,4,5,1,4,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,15,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/CKASTVisitor.java,com.github.mauricioaniche.ck.metric.CKASTVisitor,interface,1,35,34,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/WMC.java,com.github.mauricioaniche.ck.metric.WMC,class,22,23,1,22,38,1,0,21,37,0.6818182,0.3,0.3,11,0,4,6,1,0,5,0,0,0,2,0,0,1,1,0,1,0,0,83,6,0,1,0,0,6,3,7,2,6,9,1,0,0,54,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NumberOfInnerClassesLambdasAndAnonymousClassesTest.java,com.github.mauricioaniche.ck.NumberOfInnerClassesLambdasAndAnonymousClassesTest,class,6,6,0,6,3,2,0,13,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,48,0,0,0,0,0,27,34,5,1,4,0,0,0,0,25,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfVariables.java,com.github.mauricioaniche.ck.metric.NumberOfVariables,class,7,7,0,7,4,1,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,1,1,0,1,1,0,0,0,22,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/CKVisitor.java,com.github.mauricioaniche.ck.CKVisitor$MethodInTheStack,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,11,0,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NumberOfLogStatementsTest.java,com.github.mauricioaniche.ck.NumberOfLogStatementsTest,class,6,6,0,6,4,2,0,8,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,7,6,4,1,3,0,0,0,0,29,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NumberOfTryCatchesTest.java,com.github.mauricioaniche.ck.NumberOfTryCatchesTest,class,6,6,0,6,2,2,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,6,5,2,1,1,0,0,0,0,18,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/WordCountsTest.java,com.github.mauricioaniche.ck.WordCountsTest,class,7,7,0,7,6,2,0,8,3,0.5555556,0.4,0.6666667,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,2,36,0,0,0,0,0,14,13,6,1,5,0,0,0,0,28,1,0
