file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,"addToSet/2[java.lang.String,com.github.mauricioaniche.ck.metric.CouplingExtras.CouplingClassification]",false,271,2,10,5,5,3,5,11,0,0,2,5,0,0,0,2,0,0,0,0,0,0,2,0,0,0,7,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,internalVisit/1[com.github.mauricioaniche.ck.metric.TypeDeclaration],false,86,4,1,0,1,5,8,17,0,4,1,8,1,2,1,3,0,0,0,0,3,0,3,0,0,1,15,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,setResult/1[com.github.mauricioaniche.ck.CKMethodResult],false,287,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,internalVisit/1[com.github.mauricioaniche.ck.metric.MethodDeclaration],false,107,4,1,0,1,4,9,16,0,3,1,9,1,2,1,2,0,0,0,0,2,0,3,0,0,1,15,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,cleanClassName/1[java.lang.String],false,257,0,1,1,0,2,4,5,1,1,1,4,0,0,0,0,0,0,6,1,2,0,1,0,0,0,6,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,"coupleTo/2[com.github.mauricioaniche.ck.metric.ITypeBinding,com.github.mauricioaniche.ck.metric.CouplingExtras.CouplingClassification]",false,227,3,3,0,3,8,8,12,5,2,2,8,3,1,0,2,0,0,1,0,2,0,2,0,0,0,18,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,setClassName/1[java.lang.String],false,290,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,"coupleTo/2[com.github.mauricioaniche.ck.metric.Annotation,com.github.mauricioaniche.ck.metric.CouplingExtras.CouplingClassification]",false,181,4,14,12,2,3,5,9,0,1,2,5,2,1,0,2,0,0,0,0,1,0,3,0,0,0,11,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,internalVisitAnnotation/1[com.github.mauricioaniche.ck.metric.Annotation],false,156,2,2,1,1,2,1,3,0,0,1,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,7,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,internalVisit/1[com.github.mauricioaniche.ck.metric.ClassInstanceCreation],false,48,6,2,1,1,6,6,17,0,4,1,6,1,2,1,3,0,0,0,0,5,0,3,0,0,0,20,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,internalVisit/1[com.github.mauricioaniche.ck.metric.ReturnStatement],false,70,2,1,0,1,3,3,7,0,0,1,3,1,2,0,2,0,0,0,0,0,0,2,0,0,0,8,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,"coupleNodeType/2[com.github.mauricioaniche.ck.metric.Type,com.github.mauricioaniche.ck.metric.CouplingExtras.CouplingClassification]",false,41,3,2,1,1,2,1,5,0,0,2,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,6,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,isFromJava/1[java.lang.String],false,267,0,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,false
